,Tweets,sentiment
0,"RT @AlistairHaimes: Of the whole omnishambles, it's people trying to get into my head I object to the most.

Great from @GarySidley, former…",1
1,"RT @SteveBakerHW: The case for a new coronavirus strategy is now indisputable.

For @Telegraph, Janet Daley writes:

""Government scientists…",0
2,"RT @atrupar: ""If we tested half, cases would be half .... they want us to test, test, test"" -- Trump suggests the US only does so much coro…",1
3,"@Jim_Jordan Wear a mask! 224,000+ American souls have been lost to #Covid19. True #patriots wear a mask, because th… https://t.co/wFYlG26xar",0
4,RT @BNODesk: The El Paso-Juárez area on the U.S.-Mexico border is seeing a significant surge in coronavirus cases. The U.S. side alone is r…,0
5,"RT @AriBerman: Mitch McConnell blocking coronavirus relief legislation for 162 days, bill to restore Voting Rights Act for 322 days &amp; bill…",1
6,"RT @speechboy71: You semi-regular reminder that on June 16, Mike Pence wrote an op-Ed for the WSJ that dismissed the notion of a COVID-19 s…",1
7,"RT @DrWinarick: How many coronavirus deaths are truly attributable to Trump? - The Washington Post

Several empirical studies indicate that…",0
8,"RT @CNN: The US just marked a harrowing milestone: It recorded its highest one-day number of Covid-19 infections Friday at more than 83,000…",0
9,RT @NatureNews: Arguments in favour of allowing coronavirus to run its course largely unchecked share a misunderstanding about what herd im…,1
10,"RT @C_3C_3: President Trump’s complete victory in last night’s debate will lead to a major uptick in Coronavirus cases today.

It’s science.",0
11,RT @TPM: Fauci: ‘Maybe We Should Be Mandating’ Masks Amid Record High Coronavirus Cases https://t.co/Wk44Y2O0CV https://t.co/Bdzys0GCuK,0
12,"RT @alfonslopeztena: Jared Kushner and Ivanka Trump are threatening to sue over a pair of @ProjectLincoln’s giant, side-by-side billboards…",1
13,"The quotes in this are insane

https://t.co/GEu1KC2sO6",1
14,RT @AlexCorradetti: 🚨#DEVELOPING: Maury Regional Medical Center sees increase of #COVID-19 cases in Columbia-- https://t.co/5YmNxwrIjr @WKR…,0
15,"RT @ShaneGoldmacher: At a rally, Trump is mocking Biden's drive-in rallies.

“You know people in cars. I don’t get it.”
“There were so few…",1
16,RT @clevelanddotcom: Mayor Frank Jackson’s administration announced it would waive three months of rent from tenants at the West Side Marke…,1
17,RT @thejournal_ie: A further 859 cases of Covid-19 and four deaths have been confirmed in Ireland this afternoon https://t.co/83GsbCIIj1,0
18,RT @jsolomonReports: Multiple journals reject major mask study amid hints that it shows masks don’t stop COVID | Just The News https://t.co…,0
19,RT @atrupar: Trump claims that other countries have fewer coronavirus cases because they only test when "somebody comes into the hospital a…,0
20,RT @BelfastLive: First Minister Arlene Foster said: "It is absolutely right that they should be able to avail of financial assistance to su…,1
21,"RT @AJEnglish: For all COVID-19 news, follow our coverage here ➡️ https://t.co/lQ6FOpw51o https://t.co/wXyUfHfOTU",1
22,RT @atrupar: "We're rounding the turn. Our numbers are incredible." -- Trump declares the coronavirus pandemic almost over one day after th…,1
23,"RT @MaddowBlog: ""As President Donald Trump jetted across the country holding campaign rallies during the past two months, he didn’t just de…",1
24,"RT @DrDenaGrayson: On the day that the US posted a record high 83,000 new #coronavirus cases—shattering the prior record set only yesterday…",0
25,RT @TomJChicago: Maddow is on fire reporting how Coronavirus cases are surging where Trump has rallies. She has the stats &amp; is quantifying…,0
26,"RT @ShaneGoldmacher: At a rally, Trump is mocking Biden's drive-in rallies.

“You know people in cars. I don’t get it.”
“There were so few…",1
27,"RT @Angelinekking: This book is bloody brilliant, but it’s also freaking me out! How did Byddi Lee write this before coronavirus? I’m amaze…",1
28,"RT @File411: JFC - 
you’re purportedly the POTUS for ONCE tell the TRUTH
at this point, you’re either clinically insane;

or
a highly disfu…",0
